dataset,buy_probability_threshold,predicted_max_return_threshold,buy_count,buy_rate,hit_rate,average_return_after_costs,total_return_after_costs,max_drawdown
test_final_evaluation_only,0.55,0.0015,11504,0.3649630405126741,0.5250347705146036,-0.002371694080320173,-27.28396870000327,-0.9999999999987537
test_final_evaluation_only,0.55,0.002,11450,0.36324989689413406,0.5252401746724891,-0.00237135177653857,-27.151977841366623,-0.9999999999985771
test_final_evaluation_only,0.55,0.0025,8539,0.270898765902097,0.5590818597025413,-0.0023557610746595013,-20.115843816517483,-0.999999998338531
test_final_evaluation_only,0.55,0.003,5114,0.16224104565210495,0.6145874071177161,-0.002324974941485249,-11.889921850755565,-0.9999935944578761
test_final_evaluation_only,0.6,0.001,8469,0.26867802417435993,0.5625221395678356,-0.002328262377673896,-19.718054076520225,-0.9999999975217204
test_final_evaluation_only,0.6,0.0015,8469,0.26867802417435993,0.5625221395678356,-0.002328262377673896,-19.718054076520225,-0.9999999975217204
test_final_evaluation_only,0.6,0.002,8469,0.26867802417435993,0.5625221395678356,-0.002328262377673896,-19.718054076520225,-0.9999999975217204
test_final_evaluation_only,0.6,0.0025,7729,0.2452016116239967,0.5731659981886402,-0.002321837985691783,-17.94548579141179,-0.9999999853190605
test_final_evaluation_only,0.6,0.003,5097,0.1617017226610831,0.6152638807141456,-0.002325977664802402,-11.855508157497843,-0.9999933691917859
test_final_evaluation_only,0.62,0.001,7308,0.2318454363757495,0.5810071154898742,-0.0023000002608336923,-16.808401906172623,-0.9999999539788911
test_final_evaluation_only,0.62,0.0015,7308,0.2318454363757495,0.5810071154898742,-0.0023000002608336923,-16.808401906172623,-0.9999999539788911
test_final_evaluation_only,0.62,0.002,7308,0.2318454363757495,0.5810071154898742,-0.0023000002608336923,-16.808401906172623,-0.9999999539788911
test_final_evaluation_only,0.62,0.0025,7000,0.22207417277370642,0.5848571428571429,-0.0022988743370035048,-16.092120359024534,-0.9999999055204263
test_final_evaluation_only,0.62,0.003,5050,0.16021065321531677,0.6174257425742574,-0.002322875979748501,-11.73052369772993,-0.9999924838572664
test_final_evaluation_only,0.65,0.001,5738,0.18203737191078964,0.6066573719065876,-0.0023051795553796243,-13.227120288768285,-0.9999983226085744
test_final_evaluation_only,0.65,0.0015,5738,0.18203737191078964,0.6066573719065876,-0.0023051795553796243,-13.227120288768285,-0.9999983226085744
test_final_evaluation_only,0.65,0.002,5738,0.18203737191078964,0.6066573719065876,-0.0023051795553796243,-13.227120288768285,-0.9999983226085744
test_final_evaluation_only,0.65,0.0025,5692,0.18057802734684814,0.606816584680253,-0.0023104736312650107,-13.151215909160442,-0.9999981883776571
test_final_evaluation_only,0.65,0.003,4771,0.15135941118619334,0.6231398029763152,-0.0023310558442399282,-11.121467432868698,-0.9999861318607195
test_final_evaluation_only,0.7,0.001,3386,0.10742044985882428,0.6512108682811577,-0.0022800553219983945,-7.720267320286563,-0.9995837422541789
test_final_evaluation_only,0.7,0.0015,3386,0.10742044985882428,0.6512108682811577,-0.0022800553219983945,-7.720267320286563,-0.9995837422541789
test_final_evaluation_only,0.7,0.002,3386,0.10742044985882428,0.6512108682811577,-0.0022800553219983945,-7.720267320286563,-0.9995837422541789
test_final_evaluation_only,0.7,0.0025,3385,0.10738872497699946,0.6511078286558346,-0.00228065119949809,-7.720004310301036,-0.9995836327454333
test_final_evaluation_only,0.7,0.003,3320,0.10532660765838647,0.6524096385542169,-0.002284299048327705,-7.583872840447981,-0.9995227030984754
